eps_km,min_samples,clusters,clustered_points,clustered_fraction,largest_cluster_points,largest_cluster_share,median_cluster_size,p95_cluster_size
0.05,10,1280,21633,0.06949289748087042,148,0.0068413997134008225,13.0,37.0
0.05,20,142,4086,0.013125686641096312,60,0.014684287812041116,26.0,50.89999999999998
0.05,40,2,101,0.00032444795662034447,54,0.5346534653465347,50.5,53.65
0.1,10,2161,52517,0.16870330037456072,1162,0.02212616866919283,14.0,65.0
0.1,20,452,19087,0.06131423908923282,398,0.02085188872007125,32.0,101.59999999999991
0.1,40,49,2976,0.009559971474278665,156,0.05241935483870968,56.0,93.19999999999999
0.15,10,2692,84140,0.27028763435678993,18169,0.2159377228428809,15.0,59.0
0.15,20,651,37566,0.12067536572673129,1328,0.03535111537028164,32.0,169.5
0.15,40,148,11902,0.03823346118510238,383,0.03217946563602756,60.0,161.60000000000002
0.2,10,2874,111871,0.3593694787631144,33833,0.3024286901878056,15.0,73.34999999999991
0.2,20,818,58762,0.18876446363291766,13353,0.22723869167148839,31.0,155.64999999999975
0.2,40,221,23717,0.0761874473976704,1500,0.0632457730741662,66.0,267.0
0.3,10,2969,159328,0.5118182577465965,55614,0.34905352480417756,15.0,85.0
0.3,20,977,99649,0.3201080636560466,40528,0.4067075434776064,32.0,175.99999999999932
0.3,40,239,49469,0.1589120392678398,23896,0.48304999090339407,72.0,324.59999999999997
