threshold,precision,recall,f1_score,true_positives,false_positives,false_negatives,true_negatives,predicted_hotspots
0.1,0.012994811637384515,0.993711611582334,0.025654142889234132,6795,516106,43,21611,522901
0.2,0.023938350549270373,0.896753436677391,0.04663188793745913,6132,250026,706,287691,256158
0.3,0.03848394046357569,0.8019888856390758,0.07344364164752677,5484,137017,1354,400700,142501
0.4,0.05165044544003296,0.7334015794091839,0.09650447884694947,5015,92080,1823,445637,97095
0.5,0.0667526931608937,0.6732962854635859,0.12146315081322798,4604,64367,2234,473350,68971
0.6,0.08680518932602047,0.6017841474115239,0.15172464649816567,4115,43290,2723,494427,47405
0.7,0.11789748918909859,0.5143316759286342,0.19182415664457717,3517,26314,3321,511403,29831
0.8,0.16204869857262805,0.4233694062591401,0.23438448771404283,2895,14970,3943,522747,17865
0.9,0.26672721768089613,0.25767768353319687,0.26212436774769415,1762,4844,5076,532873,6606
0.95,0.3890675241157556,0.10617139514477918,0.16681985294117646,726,1140,6112,536577,1866
