model,threshold,precision,recall,f1_score,true_positives,false_positives,false_negatives,true_negatives,predicted_hotspots
Logistic Regression,0.1,0.020000708993583607,0.8250950570342205,0.039054712592756675,5642,276448,1196,261269,282090
Logistic Regression,0.2,0.0555030463422082,0.5582041532611874,0.1009668161197741,3817,64954,3021,472763,68771
Logistic Regression,0.3,0.09579100145137881,0.4246855805791167,0.15632233406901005,2904,27412,3934,510305,30316
Logistic Regression,0.4,0.13140916808149405,0.3395729745539631,0.18948914640117512,2322,15348,4516,522369,17670
Logistic Regression,0.5,0.16491605326275743,0.29160573267037143,0.21068202229383487,1994,10097,4844,527620,12091
Logistic Regression,0.6,0.20313676286072774,0.23676513600467974,0.21866558616963802,1619,6351,5219,531366,7970
Logistic Regression,0.7,0.2430757311640519,0.18353319684118163,0.20914923756353637,1255,3908,5583,533809,5163
Logistic Regression,0.8,0.29259950248756217,0.1376133372331091,0.1871891784364432,941,2275,5897,535442,3216
Logistic Regression,0.9,0.36464088397790057,0.09651945013161743,0.15263644773358,660,1150,6178,536567,1810
Random Forest,0.1,0.01276172307623115,0.9959052354489617,0.025200521772917765,6810,526817,28,10900,533627
Random Forest,0.2,0.01468171060797923,0.9444281953787658,0.028913936490525066,6458,433409,380,104308,439867
Random Forest,0.3,0.024302552515157963,0.78487861947938,0.04714532302056843,5367,215474,1471,322243,220841
Random Forest,0.4,0.03820371957058616,0.6651067563615092,0.0722569985065616,4548,114498,2290,423219,119046
Random Forest,0.5,0.05476515565264883,0.5865750219362387,0.10017732710607158,4011,69229,2827,468488,73240
Random Forest,0.6,0.0761167310139551,0.5160865750219362,0.13266667919775943,3529,42834,3309,494883,46363
Random Forest,0.7,0.10405146930968527,0.4375548405966657,0.1681229455229961,2992,25763,3846,511954,28755
Random Forest,0.8,0.1487728130899937,0.34571512138052063,0.20802534318901794,2364,13526,4474,524191,15890
Random Forest,0.9,0.23371126228269085,0.2260894998537584,0.2298372110309968,1546,5069,5292,532648,6615
