feature,importance
historical_avg_collisions,0.17137943235059375
historical_collision_frequency,0.14905076437113765
grid_longitude,0.09444306075067885
collisions_last_12_months,0.09404461130526197
grid_latitude,0.0892890695447301
collisions_rolling_6,0.07731962927839053
historical_total_collisions,0.05746804381775899
historical_hotspot_frequency,0.04921301547677052
collisions_last_6_months,0.03540653863382412
historical_max_collisions,0.03182467804553673
collisions_rolling_sum_3,0.024768146893477172
months_since_last_collision,0.019542448826902734
collisions_rolling_3,0.01742198051740872
year,0.016000810809947894
month,0.015848875281085244
month_cos,0.012446610125767699
month_sin,0.01244107762002988
collisions_lag_1,0.008154228123194354
collisions_last_3_months,0.0071843920439876524
casualties_lag_1,0.0058285485878663695
collisions_lag_3,0.005809950197748111
collisions_lag_2,0.005114087397900972
