family,C,val_average_precision,learning_rate,max_leaf_nodes,min_samples_leaf,n_estimators,max_depth
logistic_regression,0.01,0.24921749472307192,,,,,
logistic_regression,0.1,0.24680836257975777,,,,,
logistic_regression,1.0,0.24624132155862055,,,,,
logistic_regression,10.0,0.24618837274731037,,,,,
hist_gradient_boosting,,0.2498869759285054,0.03,8.0,50.0,,
hist_gradient_boosting,,0.248986552559154,0.03,8.0,200.0,,
hist_gradient_boosting,,0.24986490367622222,0.03,15.0,50.0,,
hist_gradient_boosting,,0.2485468810559922,0.03,15.0,200.0,,
hist_gradient_boosting,,0.24873662747937378,0.03,31.0,50.0,,
hist_gradient_boosting,,0.2481613406867784,0.03,31.0,200.0,,
hist_gradient_boosting,,0.24911458563169026,0.1,8.0,50.0,,
hist_gradient_boosting,,0.2442901914333664,0.1,8.0,200.0,,
hist_gradient_boosting,,0.2479459892317211,0.1,15.0,50.0,,
hist_gradient_boosting,,0.2458352348365457,0.1,15.0,200.0,,
hist_gradient_boosting,,0.24647089047692594,0.1,31.0,50.0,,
hist_gradient_boosting,,0.246847487582036,0.1,31.0,200.0,,
random_forest,,0.2469956324405539,,,25.0,150.0,4.0
random_forest,,0.2469208022939828,,,50.0,150.0,4.0
random_forest,,0.2469859889896203,,,100.0,150.0,4.0
random_forest,,0.24698136180032176,,,200.0,150.0,4.0
random_forest,,0.2505213951748007,,,25.0,150.0,6.0
random_forest,,0.250323251575994,,,50.0,150.0,6.0
random_forest,,0.2506871987764555,,,100.0,150.0,6.0
random_forest,,0.2503225438168848,,,200.0,150.0,6.0
random_forest,,0.2504203614912012,,,25.0,150.0,8.0
random_forest,,0.25072334829717724,,,50.0,150.0,8.0
random_forest,,0.25121235139396697,,,100.0,150.0,8.0
random_forest,,0.25051828963708817,,,200.0,150.0,8.0
random_forest,,0.24957528631729534,,,25.0,150.0,10.0
random_forest,,0.25035335557794935,,,50.0,150.0,10.0
random_forest,,0.25044468689432114,,,100.0,150.0,10.0
random_forest,,0.25041744754239637,,,200.0,150.0,10.0
random_forest,,0.24848083553621972,,,25.0,150.0,14.0
random_forest,,0.24906198889218295,,,50.0,150.0,14.0
random_forest,,0.24986773067414905,,,100.0,150.0,14.0
random_forest,,0.2503708010135617,,,200.0,150.0,14.0
